,C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER
0,9,10,0,13,1,1,6,1,1,2,0,0,0,1,51,1,1,73,1,1,2,1
1,13,9,5,12,1,0,5,1,2,1,0,2,0,1,53,1,1,17,1,2,2,1
2,13,7,1,0,1,0,3,0,0,0,0,16,0,1,53,1,1,33,1,2,2,1
3,11,0,1,10,1,1,6,1,0,1,0,0,0,1,59,1,1,50,1,1,2,1
4,12,2,1,2,1,1,5,0,0,0,1,16,0,1,63,2,1,36,3,1,2,2
5,14,9,3,22,1,1,16,1,2,1,0,2,0,1,54,2,1,11,6,2,2,2
6,2,8,0,16,1,1,15,1,0,0,0,16,0,1,19,2,2,25,3,2,2,2
7,12,6,6,16,1,2,15,1,0,0,0,2,1,1,51,2,2,32,3,1,2,2
8,10,11,4,11,1,1,16,1,0,0,0,0,0,1,61,1,2,26,1,2,2,1
9,12,7,4,11,1,0,2,1,0,0,2,16,0,1,62,2,2,52,3,2,2,2
10,15,9,5,15,1,1,13,0,0,0,0,16,0,1,57,2,2,13,3,1,2,2
11,3,0,3,7,1,0,5,1,0,1,0,0,0,1,53,1,1,50,1,1,2,1
12,8,2,3,18,1,1,17,1,0,0,0,16,25,0,0,1,2,14,13,2,1,3
13,3,9,1,11,1,0,1,1,2,1,0,16,25,0,0,1,1,06,13,2,0,3
14,2,6,2,15,1,1,15,1,0,0,0,0,1,1,41,1,2,46,1,1,2,1
15,13,8,5,21,1,1,5,0,0,0,0,16,1,1,51,1,1,28,1,1,2,1
16,6,4,4,15,1,2,6,1,1,1,0,16,0,1,54,1,2,18,1,2,2,1
17,6,2,3,16,1,1,15,1,0,0,0,2,0,1,51,1,1,49,1,2,2,1
18,14,11,4,6,1,1,6,1,2,1,0,0,0,1,43,3,1,26,5,1,2,2
19,7,5,4,2,1,0,2,0,2,1,2,16,0,1,48,4,1,18,6,2,2,2
20,2,5,1,12,1,0,1,1,0,0,0,0,25,0,0,1,1,08,13,2,0,3
21,2,3,3,22,1,1,13,1,1,1,1,2,1,1,44,3,2,49,4,1,2,2
22,1,11,0,9,1,1,13,1,0,9,0,16,0,1,52,1,1,47,1,1,2,1
23,10,2,6,17,1,3,6,0,0,0,0,16,0,1,54,2,1,06,3,2,2,2
24,7,10,6,5,1,1,15,1,0,0,0,0,1,1,54,1,1,23,1,1,2,1
25,10,0,0,20,1,0,2,0,3,2,0,16,0,1,54,1,1,31,1,2,2,1
26,2,1,3,7,1,0,3,0,3,9,2,16,0,1,40,1,2,41,1,2,2,1
27,4,7,1,7,1,1,15,1,0,0,0,17,1,9,29,1,1,57,1,2,3,5
28,7,9,3,15,1,0,18,0,1,0,1,16,25,0,0,1,2,14,13,2,0,3
29,1,8,4,17,1,1,15,1,2,1,0,0,1,1,41,3,2,08,6,2,2,2
30,11,9,5,15,1,1,13,1,0,0,0,0,0,1,47,2,1,90,3,2,2,2
31,6,3,4,11,1,1,6,1,0,0,0,0,0,1,48,1,2,73,1,0,0,1
32,12,2,5,23,1,2,6,0,1,1,0,16,0,1,60,4,1,19,6,1,2,2
33,14,3,0,17,1,1,16,1,2,1,0,0,1,1,56,1,1,44,1,2,7,1
34,9,5,3,7,1,1,7,1,0,0,0,0,1,11,54,1,1,18,1,2,6,4
35,10,5,6,14,1,2,6,0,0,0,0,16,2,1,59,2,1,12,6,1,2,2
36,2,6,1,8,1,1,18,3,0,0,3,16,1,1,54,1,1,51,1,0,2,1
37,10,2,2,2,1,1,6,1,0,1,1,0,1,1,58,1,2,36,1,1,2,1
38,15,0,2,9,1,1,16,2,0,1,0,0,1,1,61,2,1,74,3,1,2,2
